YEAR,AGG_LEVEL,CAMPUS,REGION,DISTRICT NAME AND NUMBER,CHARTER_STATUS,CAMPNAME AND NUMBER,SECTION,HEADING,HEADNAME,YR23
2022-2023,CAMPUS SUMMARY,61901041,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,CROWNOVER MIDDLE 061901041,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,274
2022-2023,CAMPUS SUMMARY,61901003,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DENTON H S 061901003,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2167
2022-2023,CAMPUS SUMMARY,61901003,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DENTON H S 061901003,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,296
2022-2023,CAMPUS SUMMARY,61901003,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DENTON H S 061901003,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,687
2022-2023,CAMPUS SUMMARY,61901100,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DENTON K-8 VIRTUAL ACADEMY 061901100,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,145
2022-2023,CAMPUS SUMMARY,61901126,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DOROTHY P ADKINS EL 061901126,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,462
2022-2023,CAMPUS SUMMARY,61901126,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DOROTHY P ADKINS EL 061901126,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901126,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,DOROTHY P ADKINS EL 061901126,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901124,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EMILIO & GUADALUPE GONZALEZ PRE-K CENTER 061901124,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,312
2022-2023,CAMPUS SUMMARY,61901115,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EP RAYZOR EL 061901115,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,330
2022-2023,CAMPUS SUMMARY,61901115,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EP RAYZOR EL 061901115,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901115,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EP RAYZOR EL 061901115,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901112,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EVERS PARK EL 061901112,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,730
2022-2023,CAMPUS SUMMARY,61901112,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EVERS PARK EL 061901112,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901112,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,EVERS PARK EL 061901112,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901039,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,FRED MOORE H S 061901039,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,118
2022-2023,CAMPUS SUMMARY,61901039,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,FRED MOORE H S 061901039,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901039,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,FRED MOORE H S 061901039,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,10
2022-2023,CAMPUS SUMMARY,61901110,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GINNINGS EL 061901110,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,663
2022-2023,CAMPUS SUMMARY,61901110,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GINNINGS EL 061901110,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,29
2022-2023,CAMPUS SUMMARY,61901110,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GINNINGS EL 061901110,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,41
2022-2023,CAMPUS SUMMARY,61901007,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GUYER H S 061901007,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2640
2022-2023,CAMPUS SUMMARY,61901007,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GUYER H S 061901007,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,154
2022-2023,CAMPUS SUMMARY,61901007,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,GUYER H S 061901007,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,291
2022-2023,CAMPUS SUMMARY,61901048,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HARPOOL MIDDLE 061901048,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,843
2022-2023,CAMPUS SUMMARY,61901048,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HARPOOL MIDDLE 061901048,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,71
2022-2023,CAMPUS SUMMARY,61901048,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HARPOOL MIDDLE 061901048,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,144
2022-2023,CAMPUS SUMMARY,61901118,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HAWK EL 061901118,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,669
2022-2023,CAMPUS SUMMARY,61901118,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HAWK EL 061901118,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901118,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HAWK EL 061901118,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901105,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HODGE EL 061901105,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,701
2022-2023,CAMPUS SUMMARY,61901105,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HODGE EL 061901105,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,39
2022-2023,CAMPUS SUMMARY,61901105,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HODGE EL 061901105,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,70
2022-2023,CAMPUS SUMMARY,61901102,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HOUSTON EL 061901102,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,550
2022-2023,CAMPUS SUMMARY,61901102,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HOUSTON EL 061901102,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,17
2022-2023,CAMPUS SUMMARY,61901102,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,HOUSTON EL 061901102,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,36
2022-2023,CAMPUS SUMMARY,61901040,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,JOE DALE SPARKS CAMPUS 061901040,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,316
2022-2023,CAMPUS SUMMARY,61901005,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,LESTER DAVIS 061901005,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,218
2022-2023,CAMPUS SUMMARY,61901005,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,LESTER DAVIS 061901005,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,463
2022-2023,CAMPUS SUMMARY,61901046,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCMATH MIDDLE 061901046,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,802
2022-2023,CAMPUS SUMMARY,61901046,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCMATH MIDDLE 061901046,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,213
2022-2023,CAMPUS SUMMARY,61901046,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCMATH MIDDLE 061901046,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,670
2022-2023,CAMPUS SUMMARY,61901106,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCNAIR EL 061901106,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,592
2022-2023,CAMPUS SUMMARY,61901106,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCNAIR EL 061901106,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901106,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,MCNAIR EL 061901106,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901047,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NAVO MIDDLE 061901047,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,1154
2022-2023,CAMPUS SUMMARY,61901047,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NAVO MIDDLE 061901047,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,273
2022-2023,CAMPUS SUMMARY,61901047,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NAVO MIDDLE 061901047,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,628
2022-2023,CAMPUS SUMMARY,61901121,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NELSON EL 061901121,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,569
2022-2023,CAMPUS SUMMARY,61901121,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NELSON EL 061901121,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901121,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NELSON EL 061901121,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901109,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NETTE SHULTZ 061901109,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,721
2022-2023,CAMPUS SUMMARY,61901109,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NETTE SHULTZ 061901109,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901109,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NETTE SHULTZ 061901109,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901107,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NEWTON RAYZOR EL 061901107,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,681
2022-2023,CAMPUS SUMMARY,61901107,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NEWTON RAYZOR EL 061901107,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901107,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,NEWTON RAYZOR EL 061901107,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901120,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PALOMA CREEK EL 061901120,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,688
2022-2023,CAMPUS SUMMARY,61901120,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PALOMA CREEK EL 061901120,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901120,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PALOMA CREEK EL 061901120,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,19
2022-2023,CAMPUS SUMMARY,61901116,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PECAN CREEK EL 061901116,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,709
2022-2023,CAMPUS SUMMARY,61901116,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PECAN CREEK EL 061901116,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901116,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PECAN CREEK EL 061901116,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,15
2022-2023,CAMPUS SUMMARY,61901117,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PROVIDENCE EL 061901117,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,766
2022-2023,CAMPUS SUMMARY,61901117,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PROVIDENCE EL 061901117,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,15
2022-2023,CAMPUS SUMMARY,61901117,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,PROVIDENCE EL 061901117,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,31
2022-2023,CAMPUS SUMMARY,61901008,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RAY BRASWELL H S 061901008,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2995
2022-2023,CAMPUS SUMMARY,61901008,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RAY BRASWELL H S 061901008,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,446
2022-2023,CAMPUS SUMMARY,61901008,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RAY BRASWELL H S 061901008,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,1017
2022-2023,CAMPUS SUMMARY,61901108,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RIVERA EL 061901108,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,739
2022-2023,CAMPUS SUMMARY,61901108,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RIVERA EL 061901108,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,40
2022-2023,CAMPUS SUMMARY,61901108,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RIVERA EL 061901108,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,62
2022-2023,CAMPUS SUMMARY,61901050,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RODRIGUEZ MIDDLE 061901050,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,1066
2022-2023,CAMPUS SUMMARY,61901050,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RODRIGUEZ MIDDLE 061901050,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,311
2022-2023,CAMPUS SUMMARY,61901050,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RODRIGUEZ MIDDLE 061901050,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,811
2022-2023,CAMPUS SUMMARY,61901113,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN EL 061901113,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,646
2022-2023,CAMPUS SUMMARY,61901113,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN EL 061901113,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901113,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN EL 061901113,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,18
2022-2023,CAMPUS SUMMARY,61901002,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN H S 061901002,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2317
2022-2023,CAMPUS SUMMARY,61901002,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN H S 061901002,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,371
2022-2023,CAMPUS SUMMARY,61901002,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,RYAN H S 061901002,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,885
2022-2023,CAMPUS SUMMARY,61901129,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SANDBROCK RANCH EL 061901129,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,756
2022-2023,CAMPUS SUMMARY,61901129,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SANDBROCK RANCH EL 061901129,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,32
2022-2023,CAMPUS SUMMARY,61901129,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SANDBROCK RANCH EL 061901129,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,69
2022-2023,CAMPUS SUMMARY,61901119,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SAVANNAH EL 061901119,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,808
2022-2023,CAMPUS SUMMARY,61901119,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SAVANNAH EL 061901119,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,61901119,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,SAVANNAH EL 061901119,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,61901123,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STEPHENS EL 061901123,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,517
2022-2023,CAMPUS SUMMARY,61901123,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STEPHENS EL 061901123,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,22
2022-2023,CAMPUS SUMMARY,61901123,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STEPHENS EL 061901123,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,49
2022-2023,CAMPUS SUMMARY,61901044,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STRICKLAND MIDDLE 061901044,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,985
2022-2023,CAMPUS SUMMARY,61901044,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STRICKLAND MIDDLE 061901044,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,257
2022-2023,CAMPUS SUMMARY,61901044,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,STRICKLAND MIDDLE 061901044,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,659
2022-2023,CAMPUS SUMMARY,61901114,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,THE ANN WINDLE SCHOOL FOR YOUNG CHILDREN 061901114,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,335
2022-2023,CAMPUS SUMMARY,61901009,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,THE LAGRONE ACADEMY 061901009,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,207
2022-2023,CAMPUS SUMMARY,61901009,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,THE LAGRONE ACADEMY 061901009,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,25
2022-2023,CAMPUS SUMMARY,61901009,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,THE LAGRONE ACADEMY 061901009,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,39
2022-2023,CAMPUS SUMMARY,61901128,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,UNION PARK EL 061901128,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,793
2022-2023,CAMPUS SUMMARY,61901128,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,UNION PARK EL 061901128,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,28
2022-2023,CAMPUS SUMMARY,61901128,11,DENTON ISD 061901,TRADITIONAL ISD/CSD,UNION PARK EL 061901128,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,43
2022-2023,CAMPUS SUMMARY,251901001,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DENVER CITY H S 251901001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,534
2022-2023,CAMPUS SUMMARY,251901001,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DENVER CITY H S 251901001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,106
2022-2023,CAMPUS SUMMARY,251901001,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DENVER CITY H S 251901001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,182
2022-2023,CAMPUS SUMMARY,251901104,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DODSON PRI 251901104,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,360
2022-2023,CAMPUS SUMMARY,251901104,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DODSON PRI 251901104,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,251901104,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,DODSON PRI 251901104,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,251901101,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,KELLEY EL 251901101,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,336
2022-2023,CAMPUS SUMMARY,251901101,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,KELLEY EL 251901101,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,251901101,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,KELLEY EL 251901101,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,251901041,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,WILLIAM G GRAVITT J H 251901041,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,379
2022-2023,CAMPUS SUMMARY,251901041,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,WILLIAM G GRAVITT J H 251901041,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,89
2022-2023,CAMPUS SUMMARY,251901041,17,DENVER CITY ISD 251901,TRADITIONAL ISD/CSD,WILLIAM G GRAVITT J H 251901041,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,157
2022-2023,CAMPUS SUMMARY,57906107,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,COCKRELL HILL EL 057906107,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,895
2022-2023,CAMPUS SUMMARY,57906043,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,CURTISTENE S MCCOWAN MIDDLE 057906043,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,912
2022-2023,CAMPUS SUMMARY,57906043,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,CURTISTENE S MCCOWAN MIDDLE 057906043,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,178
2022-2023,CAMPUS SUMMARY,57906043,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,CURTISTENE S MCCOWAN MIDDLE 057906043,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,331
2022-2023,CAMPUS SUMMARY,57906008,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO ALTERNATIVE EDUCATION CENTER (DAEP) 057906008,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,42
2022-2023,CAMPUS SUMMARY,57906008,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO ALTERNATIVE EDUCATION CENTER (DAEP) 057906008,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,71
2022-2023,CAMPUS SUMMARY,57906001,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO H S 057906001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2578
2022-2023,CAMPUS SUMMARY,57906001,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO H S 057906001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,550
2022-2023,CAMPUS SUMMARY,57906001,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO H S 057906001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,1260
2022-2023,CAMPUS SUMMARY,57906042,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO WEST MIDDLE 057906042,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,529
2022-2023,CAMPUS SUMMARY,57906042,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO WEST MIDDLE 057906042,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,134
2022-2023,CAMPUS SUMMARY,57906042,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,DESOTO WEST MIDDLE 057906042,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,228
2022-2023,CAMPUS SUMMARY,57906108,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,FRANK D MOATES EL 057906108,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,607
2022-2023,CAMPUS SUMMARY,57906108,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,FRANK D MOATES EL 057906108,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,104
2022-2023,CAMPUS SUMMARY,57906108,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,FRANK D MOATES EL 057906108,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,190
2022-2023,CAMPUS SUMMARY,57906112,10,DESOTO ISD 057906,TRADITIONAL ISD/CSD,KATHERINE JOHNSON TECHNOLOGY MAGNET ACADEMY 057906112,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,439
